106 13
0	785	0	1	11	0.833	118	6.66000000000000000000e+02	1.50000000000000000000e+01	4.93651658296585083008e-01	1.68286490440368652344e+00	0.47500000000000003	0.5726397633552551
1	785	0	1	11	0.882	118	6.68000000000000000000e+02	1.60000000000000000000e+01	4.96989756822586059570e-01	1.71290767192840576172e+00	0.5	0.6527538895606995
2	785	0	1	4	0.630	118	6.88000000000000000000e+02	2.20000000000000000000e+01	5.19942462444305419922e-01	1.91948199272155761719e+00	0.42500000000000004	1.2036187648773193
3	994	0	0	0	0.000	118	6.68000000000000000000e+02	1.60000000000000000000e+01	4.95953947305679321289e-01	1.70358538627624511719e+00	0.8	0.6278944611549377
4	994	0	0	0	0.000	118	6.69000000000000000000e+02	1.60000000000000000000e+01	4.97430056333541870117e-01	1.71687042713165283203e+00	0.8250000000000001	0.6633210182189941
5	1048	0	1	11	0.071	118	6.82000000000000000000e+02	2.00000000000000000000e+01	5.13121962547302246094e-01	1.85809767246246337891e+00	0.875	1.0399271249771118
6	1048	0	1	11	0.039	118	6.83000000000000000000e+02	2.10000000000000000000e+01	5.14649450778961181641e-01	1.87184524536132812500e+00	0.9	1.0765873193740845
7	1522	0	1	19	0.163	118	6.75000000000000000000e+02	1.80000000000000000000e+01	5.04914283752441406250e-01	1.78422868251800537109e+00	0.775	0.8429431915283203
8	1522	0	1	13	0.355	118	6.76000000000000000000e+02	1.90000000000000000000e+01	5.06008982658386230469e-01	1.79408109188079833984e+00	0.5	0.8692162036895752
9	1522	0	1	15	0.978	118	6.55000000000000000000e+02	1.20000000000000000000e+01	4.81359958648681640625e-01	1.57223951816558837891e+00	0.45	0.2776387631893158
10	1524	0	1	1	0.150	118	6.56000000000000000000e+02	1.30000000000000000000e+01	4.82496231794357299805e-01	1.58246612548828125000e+00	0.275	0.3049095869064331
11	1524	0	1	13	0.158	118	6.86000000000000000000e+02	2.10000000000000000000e+01	5.17310976982116699219e-01	1.89579904079437255859e+00	0.45	1.1404640674591064
12	1524	0	0	0	0.000	118	6.57000000000000000000e+02	1.30000000000000000000e+01	4.83374863862991333008e-01	1.59037387371063232422e+00	0.275	0.3259970545768738
13	1524	0	0	0	0.000	118	6.76000000000000000000e+02	1.80000000000000000000e+01	5.05474030971527099609e-01	1.78926634788513183594e+00	0.275	0.8563770055770874
14	1524	0	0	0	0.000	118	6.56000000000000000000e+02	1.30000000000000000000e+01	4.82737809419631958008e-01	1.58464038372039794922e+00	0.30000000000000004	0.310707688331604
15	1524	0	0	0	0.000	118	6.62000000000000000000e+02	1.40000000000000000000e+01	4.89186942577362060547e-01	1.64268255233764648438e+00	0.325	0.46548688411712646
16	1524	0	0	0	0.000	118	6.56000000000000000000e+02	1.20000000000000000000e+01	4.81839418411254882812e-01	1.57655477523803710938e+00	0.325	0.28914594650268555
17	1524	0	0	0	0.000	118	6.76000000000000000000e+02	1.90000000000000000000e+01	5.06230056285858154297e-01	1.79607021808624267578e+00	0.30000000000000004	0.8745207190513611
