0	L23_PC
1	L4_SS
2	L5_TTPC1
3	L4_PC
4	L1_HAC
5	L23_LBC
6	L23_MC
7	L23_BTC
8	L23_NBC
9	L23_DBC
10	L23_SBC
11	L5_MC
12	L6_MC
